code,name,activity,days,start_time,end_time,room,section,teacher
101201,مواد سنية (1),نظري,الأحد,12:00 PM,2:00 PM,6121,1,د. صفوح البني
101201,مواد سنية (1),عملي,السبت,8:00 AM,12:00 PM,مخبر3,1,ه.ت
101201,مواد سنية (1),عملي,السبت,12:00 PM,4:00 PM,مخبر3,2,ه.ت
101202,مواد سنية (2),نظري,الاثنين,8:00 AM,10:00 AM,6121,1,ه.ت
101202,مواد سنية (2),عملي,السبت,8:00 AM,12:00 PM,مخبر4,1,ه.ت
101202,مواد سنية (2),عملي,الثلاثاء,8:00 AM,12:00 PM,مخبر4,2,ه.ت
101221,طب الأسنان الوقائي,نظري,الثلاثاء,12:00 PM,2:00 PM,6120,1,د. نغم خوري
101221,طب الأسنان الوقائي,عملي,الأحد,8:00 AM,12:00 PM,مخبر شمع,1,ه.ت
101221,طب الأسنان الوقائي,عملي,الاثنين,8:00 AM,12:00 PM,مخبر شمع,2,ه.ت
101231,علم الأشعة السنية,نظري,السبت,12:00 PM,2:00 PM,6127,1,د. محمد يحيى سالم ركاب
101231,علم الأشعة السنية,عملي,الاثنين,8:00 AM,12:00 PM,مخبر3,1,ه.ت
101231,علم الأشعة السنية,عملي,الاثنين,12:00 PM,4:00 PM,مخبر3,2,ه.ت
101234,مداواة الأسنان المحافظة (1),نظري,الأحد,12:00 PM,4:00 PM,6119,1,د. رنا الحج حسين
101234,مداواة الأسنان المحافظة (1),عملي,الأحد,8:00 AM,12:00 PM,مخبر6,1,ه.ت
101234,مداواة الأسنان المحافظة (1),عملي,الاثنين,12:00 PM,4:00 PM,مخبر6,2,ه.ت
101241,التعويضات الثابتة (1),نظري,الثلاثاء,8:00 AM,12:00 PM,6126,1,ه.ت
101241,التعويضات الثابتة (1),عملي,الأحد,8:00 AM,12:00 PM,مخبر4,1,ه.ت
101241,التعويضات الثابتة (1),عملي,الاثنين,12:00 PM,4:00 PM,مخبر4,2,ه.ت
101292,قوانين وأخلاقيات ممارسة طب الأسنان,نظري,السبت,10:00 AM,12:00 PM,6126,1,د. محمود عبد الحق
101334,مداواة الأسنان المحافظة (2),نظري,السبت,12:00 PM,4:00 PM,6119,1,د.كنده ليوس
101334,مداواة الأسنان المحافظة (2),عملي,الأحد,12:00 PM,4:00 PM,مخبر6,1,ه.ت
101334,مداواة الأسنان المحافظة (2),عملي,الاثنين,8:00 AM,12:00 PM,مخبر6,2,ه.ت
101343,التعويضات الثابتة (2 ),نظري,السبت,12:00 PM,4:00 PM,6128,1,د. شذى قنوت
101343,التعويضات الثابتة (2 ),عملي,الأحد,12:00 PM,4:00 PM,مخبر4,1,ه.ت
101343,التعويضات الثابتة (2 ),عملي,الاثنين,8:00 AM,12:00 PM,مخبر4,2,ه.ت
101344,التعويضات السنية الجزئية المتحركة (1),نظري,الأحد,8:00 AM,12:00 PM,6130,1,د. نيرمين زريق
101344,التعويضات السنية الجزئية المتحركة (1),عملي,السبت,8:00 AM,12:00 PM,مخبر7,1,ه.ت
101344,التعويضات السنية الجزئية المتحركة (1),عملي,السبت,12:00 PM,4:00 PM,مخبر7,2,ه.ت
101361,علم الإطباق السني,نظري,الثلاثاء,8:00 AM,10:00 AM,6124,1,د.علياء الشلاح
101362,تقويم الأسنان (1),نظري,الثلاثاء,12:00 PM,4:00 PM,6124,1,د.علياء الشلاح
101362,تقويم الأسنان (1),عملي,الأحد,8:00 AM,12:00 PM,مخبر3,1,ه.ت
101362,تقويم الأسنان (1),عملي,الاثنين,12:00 PM,4:00 PM,مخبر7,2,ه.ت
101371,امراض النسج حول السنية (1),نظري,الاثنين,8:00 AM,12:00 PM,6127,1,د. اوس دنان
101371,امراض النسج حول السنية (1),عملي,السبت,8:00 AM,12:00 PM,مخبر6,1,ه.ت
101371,امراض النسج حول السنية (1),عملي,السبت,12:00 PM,4:00 PM,مخبر6,2,ه.ت
101381,التخدير و القلع (1),نظري,الاثنين,8:00 AM,12:00 PM,6124,1,د. هيثم بحاح
101381,التخدير و القلع (1),عملي,الأحد,12:00 PM,4:00 PM,مخبر شمع,1,ه.ت
101381,التخدير و القلع (1),عملي,الاثنين,12:00 PM,4:00 PM,مخبر شمع,2,ه.ت
101431,مداواة الأسنان اللبية (1),عملي,الثلاثاء,8:00 AM,12:00 PM,مخبر3,1,ه.ت
101431,مداواة الأسنان اللبية (1),نظري,السبت,8:00 AM,12:00 PM,6119,1,د.كنده ليوس
101431,مداواة الأسنان اللبية (1),عملي,الثلاثاء,12:00 PM,4:00 PM,مخبر3,2,ه.ت
101435,مداواة الأسنان المحافظة (3),نظري,الاثنين,12:00 PM,4:00 PM,6126,1,د.موفق البوبس
101435,مداواة الأسنان المحافظة (3),عملي,الأحد,12:00 PM,4:00 PM,عيادة 6 م,1,ه.ت
101435,مداواة الأسنان المحافظة (3),عملي,الثلاثاء,8:00 AM,12:00 PM,عيادة 6 م,2,د. عماد الصابوني
